Address,Suffix,Street,Side,Site,On Street,X,Y,Latitude,Longitude,Inventory Date,Site ID,Species,Diameter,Location,Area,Cultivar,Growspace,Height,MultiStem,Overhead Utilities,Space Size
21,,Abbott St,Front,1,Abbott St,1008714.29,770748.5116,42.11341785,-75.88855991,12/18/2015,2323,Vacant site small (vacant site small),0,Street,Street,,Tree Lawn/Parkway,0 to 20,No ,No ,4
24,,Abbott St,Side Away,1,Louisa St,1008802.294,770683.4858,42.11323745,-75.88823752,12/18/2015,2326,Vacant site small (vacant site small),0,Street,Street,,Tree Lawn/Parkway,0 to 20,No ,Yes ,4
24,,Abbott St,Side Away,2,Louisa St,1008805.228,770638.0167,42.11311262,-75.88822808,12/18/2015,2327,Vacant site small (vacant site small),0,Street,Street,,Tree Lawn/Parkway,0 to 20,No ,Yes ,4
25,,Abbott St,Front,1,Abbott St,1008762.203,770753.8897,42.11343154,-75.88838316,12/18/2015,2322,"maple, Norway (Acer platanoides)",30,Street,Street,,Tree Lawn/Parkway,51 to 60,No ,No ,4
26,,Abbott St,Front,1,Abbott St,1008868.024,770727.847,42.11335771,-75.88799395,12/18/2015,2360,Vacant site small (vacant site small),0,Street,Street,,Tree Lawn/Parkway,0 to 20,No ,Yes ,3
26,,Abbott St,Side To,1,Louisa St,1008838.426,770657.7384,42.11316599,-75.88810514,12/18/2015,2361,Vacant site small (vacant site small),0,Street,Street,,Tree Lawn/Parkway,0 to 20,No ,No ,4
28,,Abbott St,Front,1,Abbott St,1008926.693,770733.2251,42.11337116,-75.88777757,12/18/2015,2359,Vacant site small (vacant site small),0,Street,Street,,Tree Lawn/Parkway,0 to 20,No ,Yes ,3
29,,Abbott St,Front,1,Abbott St,1008950.409,770771.134,42.11347465,-75.88768903,12/18/2015,2368,Vacant site small (vacant site small),0,Street,Street,,Tree Lawn/Parkway,0 to 20,No ,No ,4
30,,Abbott St,Front,1,Abbott St,1008970.207,770737.6253,42.11338226,-75.88761707,12/18/2015,2358,Vacant site small (vacant site small),0,Street,Street,,Tree Lawn/Parkway,0 to 20,No ,Yes ,3
3,,Aberystwyth Pl,Front,0,Aberystwyth Pl,994862.2857,766288.7611,42.10147766,-75.93973458,6/21/2018,24286,"cherry/plum, spp. (Prunus spp.)",6,Street,Street,,Tree Lawn/Parkway,0 to 20,No ,Yes ,5
